Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Luxembourg,,,,,,,,,,,,,,,,,na,na,na,na,12,21,18,17,29,35,29,32,36,33,47,116,90
Timor-Leste,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,78,75,82,114,68,63,56,83,77,79,72,68,81
Samoa,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,61,66,70,61,58,61,76,97,55,59,74,65,78
Maldives,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,33,39,35,38,41,43,43,49,51,50,55,58,72
Laos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,95,66,37,56,62,66,71,72,67,54,62,65,71
French Polynesia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,99,100,87,68,60,59,52,57,59,57,60,65,68
Tanzania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55,105,126,121,113,97,151,89,135,67,60,66,66
Nauru,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,27,31,18,22,31,146,113,82,75,58,64,62
Iraq,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,18,158,317,105,411,194,625,332,98,100,138,314,60
Tonga,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,28,40,36,33,32,28,25,34,38,46,47,59,59
Romania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,157,189,50,29,25,43,48,61,72,69,94,72,58
Estonia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26,24,27,25,43,42,37,35,40,41,41,42,51
Slovak Republic,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55,62,55,56,54,55,55,64,64,73,51,50,51
Kazakhstan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,18,32,19,27,37,70,56,34,33,29,31,38,48
Ecuador,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,19,12,16,20,27,41,60,55,56,51,54,46
Bulgaria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,65,37,21,18,22,120,112,172,110,110,40,88,44
Zambia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,77,103,50,49,60,62,53,56,49,44,46,43,42
Lithuania,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,15,11,13,18,23,25,28,35,34,34,39,41
Uruguay,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25,29,16,18,16,15,22,17,18,17,19,na,40
Trinidad & Tobago,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22,20,80,102,26,19,18,23,24,22,28,22,38
Burkina Faso,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,3,14,4,10,29,12,10,27,18,21,32,36
Cyprus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,26,23,22,24,20,17,19,18,23,21,31,36
Latvia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22,19,15,15,17,18,23,18,17,18,25,26,36
