latitude,longitude,value
-33.99454,115.00248,1803
-31.98886,115.7824,484
-31.46062,116.38862,174
-31.74465,115.77036,339
-32.53845,115.71466,298
-32.06662,115.75459,242
-31.95738,115.87308,655
-31.95624,115.84714,356
-31.89035,115.75805,298
-31.93567,115.84912,553
-32.0662,115.75152,75
-35.01708,117.90609,300
-32.01081,115.75291,1008
-33.6493,115.08745,590
-31.9731,115.89574,444
-32.06685,115.75568,30
-31.92771,115.86689,360
-35.01745,117.90588,220
-31.94262,115.86992,1047
-32.07526,115.75485,196
-33.96142,115.06735,298
-33.14281,115.68906,500
-32.67132,117.13366,70
-33.94838,115.0727,360
-31.94598,115.86407,339
-34.97982,116.73319,170
-33.99571,115.00061,348
-33.99805,115.03789,404
-31.94265,115.85925,196
-31.99833,115.80138,200
-24.87715,113.65559,150
-33.99212,114.99998,360
-31.90909,115.76091,676
-21.93515,114.12545,726
-31.95509,115.84853,3060
-33.65838,115.05369,400
-31.89603,115.83985,101
-31.93519,115.86649,152
-33.65437,115.32327,90
-33.52336,115.50941,450
-32.06426,115.75219,325
-33.61134,115.10426,298
-33.52008,115.51311,650
-33.52277,115.51105,590
-33.97835,115.75732,300
-31.95616,115.84705,600
-33.62078,115.11369,447
-31.95439,115.84842,600
-33.33447,115.63213,268
-31.9554,115.84898,600
-29.24973,114.9327,90
-31.64106,116.08918,400
-35.025,117.88683,400
-31.89995,115.75785,76800
-33.65489,115.10555,218
-32.10829,115.76398,318
-32.03174,115.94931,1000
-31.95478,115.91227,960
-31.99438,115.75351,101
-31.95651,115.90414,800
-17.92098,122.21711,150
-31.97781,115.86304,230
-33.94891,115.08331,3780
-31.97603,115.8774,100
-30.74579,121.46621,50
-33.65023,115.33213,79
-31.97337,115.90587,190
-32.03261,115.7631,750
-33.63068,115.13892,483
-31.9441,115.86964,1083
-31.94448,115.86943,570
-33.65337,115.34328,320
-31.98184,115.87087,802
-32.04144,115.76165,315
-33.84117,121.90358,464
-17.97446,122.21215,400
-33.9925,114.99898,228
-32.06282,115.74219,598
-32.07405,115.75286,492
-32.00941,115.90788,96
-33.68232,115.06804,238
-33.98691,114.99389,294
-31.01333,115.32954,280
-33.32796,115.64435,200
-33.97366,115.76051,130
-32.03863,115.78242,41
-33.97817,114.99221,368
-32.04533,115.75461,417
-32.52247,115.72681,270
-33.96138,114.98159,440
-33.97823,114.99188,540
-31.91344,115.84884,50
-33.9932,114.99344,480
-34.43444,116.24844,268
-33.99425,115.00001,1050
-31.92298,115.87909,417
-31.95332,115.91125,920
-32.05582,115.74616,318
-34.28638,115.1424,164
-32.05582,115.74616,121
-33.60591,115.09708,270
-33.87879,115.02104,400
-31.89233,115.75867,325
-35.01412,117.71376,400
-31.97911,115.87124,180
-27.7573,114.14539,780
-31.86422,116.03266,169
-31.34731,115.51241,390
-31.93618,115.83949,240
-31.85535,115.79428,64
-17.93325,122.21612,2940
-32.01061,115.96909,120
-31.98934,115.75406,464
-33.9408,115.06209,278
-31.92671,115.91807,140
-31.67584,115.69349,658
-24.88877,113.6547,750
-31.95961,115.93793,44
-31.95983,115.93748,50
-33.83626,121.86786,240
-32.60043,115.6315,1800
-33.99899,114.99735,570
-32.07896,115.76204,270
-33.86752,114.98992,1064
-33.86752,114.98551,700
-31.89389,116.13122,480
-33.98373,114.99271,764
-32.0229,115.79922,158
-17.92913,122.22061,660
-33.65209,115.05628,1092
-17.96385,122.22669,140
-33.90966,115.14198,566
-33.90987,115.14099,612
-33.97783,114.99213,524
-33.97777,114.99418,1644
-33.99583,114.99627,1050
-33.86509,114.98724,784
-34.32755,115.16733,572
-33.95762,115.03966,1269
-33.86837,114.98787,760
-33.9526,115.07722,164
-31.67431,115.70681,770
-31.98783,115.76133,30
-32.03669,115.91343,80
-32.07623,115.75457,354
-32.03812,115.91271,85
-33.78203,115.99324,500
-32.00651,115.75763,60
-32.53099,115.72886,196
-33.94691,115.07514,500
-32.06844,115.75729,363
-31.97737,115.87621,130
-33.65779,115.27891,550
-31.94547,115.83043,375
-31.95329,115.87793,80
-31.8923,115.7833,630
-31.74071,115.79834,447
-22.68102,114.04008,705
-32.74328,116.09611,260
-31.89073,115.75818,298
-30.5702,115.22757,130
-31.93438,115.80476,745
-21.93342,114.12001,708
-27.70311,114.16915,330
-27.70572,114.16921,288
-32.3061,115.79712,180
-31.01729,115.33316,250
-32.05459,115.75522,242
-33.96011,115.08195,298
-33.69773,115.01006,360
-27.70631,114.16779,220
-32.01458,115.76902,202
-33.98034,115.00867,288
-33.9377,115.03736,1335
-33.64617,115.36529,164
-31.93603,115.83999,99
-33.74106,115.01685,1202
-31.94575,115.84035,496
-31.76512,115.78997,320
-33.64486,115.08639,600
-33.9769,115.75888,140
-33.6549,115.03647,480
-34.37418,116.28013,540
-31.94932,115.86466,318
-31.89225,116.76762,154
-31.98234,115.88193,560
-32.47523,115.76928,357
-31.99276,115.76406,75
-17.95791,122.21435,240
-31.86193,115.82929,55
-30.06979,114.97481,360
-34.43656,116.07032,160
-33.99225,114.99884,440
-34.26757,115.09581,300
-31.71305,115.80545,50
-33.99222,115.24369,460
-31.76639,116.00569,1400
-31.95819,115.93587,70
-34.97163,117.40495,140
-33.60753,115.10158,600
-31.8906,115.88491,120
-33.84257,121.90327,186
-35.08043,117.8818,140
-31.90687,115.85262,380
-32.56859,115.76602,500
-33.75516,115.02836,780
-33.65647,115.28743,280
-35.07949,117.88216,140
-35.07975,117.8826,140
-32.05953,115.75474,230
-32.53921,115.71475,750
-31.63878,115.70439,370
-32.30664,115.84961,360
-34.97927,117.34554,340
-34.97927,117.34554,300
-32.09508,115.92392,1250
